STATIONS_ID;MESS_DATUM;QN;RS_01;RS_IND_01;eor
         73;202303310750;    2;   0.00;-999;eor
         73;202303310751;    2;   0.00;-999;eor
         73;202303310752;    2;   0.00;-999;eor
         73;202303310753;    2;   0.00;-999;eor
         73;202303310754;    2;   0.00;-999;eor
         73;202303310755;    2;   0.00;-999;eor
         73;202303310756;    2;   0.00;-999;eor
         73;202303310757;    2;   0.00;-999;eor
         73;202303310758;    2;   0.00;-999;eor
         73;202303310759;    2;   0.00;-999;eor
         73;202303310800;    2;   0.00;-999;eor
         73;202303310801;    2;   0.00;-999;eor
         73;202303310802;    2;   0.00;-999;eor
         73;202303310803;    2;   0.00;-999;eor
         73;202303310804;    2;   0.00;-999;eor
         73;202303310805;    2;   0.00;-999;eor
         73;202303310806;    2;   0.00;-999;eor
         73;202303310807;    2;   0.00;-999;eor
         73;202303310808;    2;   0.00;-999;eor
         73;202303310809;    2;   0.00;-999;eor
         73;202303310810;    2;   0.00;-999;eor
         73;202303310811;    2;   0.00;-999;eor
         73;202303310812;    2;   0.00;-999;eor
         73;202303310813;    2;   0.00;-999;eor
         73;202303310814;    2;   0.00;-999;eor
         73;202303310815;    2;   0.00;-999;eor
         73;202303310816;    2;   0.00;-999;eor
         73;202303310817;    2;   0.00;-999;eor
         73;202303310818;    2;   0.00;-999;eor
         73;202303310819;    2;   0.00;-999;eor
         73;202303310820;    2;   0.00;-999;eor
         73;202303310821;    2;   0.00;-999;eor
         73;202303310822;    2;   0.00;-999;eor
         73;202303310823;    2;   0.00;-999;eor
         73;202303310824;    2;   0.00;-999;eor
         73;202303310825;    2;   0.00;-999;eor
         73;202303310826;    2;   0.01;-999;eor
         73;202303310827;    2;   0.00;-999;eor
         73;202303310828;    2;   0.01;-999;eor
         73;202303310829;    2;   0.00;-999;eor
         73;202303310830;    2;   0.01;-999;eor
         73;202303310831;    2;   0.01;-999;eor
         73;202303310832;    2;   0.01;-999;eor
         73;202303310833;    2;   0.00;-999;eor
         73;202303310834;    2;   0.01;-999;eor
         73;202303310835;    2;   0.01;-999;eor
         73;202303310836;    2;   0.01;-999;eor
         73;202303310837;    2;   0.01;-999;eor
         73;202303310838;    2;   0.03;-999;eor
         73;202303310839;    2;   0.02;-999;eor
         73;202303310840;    2;   0.03;-999;eor
         73;202303310841;    2;   0.04;-999;eor
         73;202303310842;    2;   0.03;-999;eor
         73;202303310843;    2;   0.03;-999;eor
         73;202303310844;    2;   0.03;-999;eor
         73;202303310845;    2;   0.02;-999;eor
         73;202303310846;    2;   0.01;-999;eor
         73;202303310847;    2;   0.03;-999;eor
         73;202303310848;    2;   0.00;-999;eor
         73;202303310849;    2;   0.08;-999;eor
         73;202303310850;    2;   0.05;-999;eor
         73;202303310851;    2;   0.06;-999;eor
         73;202303310852;    2;   0.05;-999;eor
         73;202303310853;    2;   0.08;-999;eor
         73;202303310854;    2;   0.07;-999;eor
         73;202303310855;    2;   0.09;-999;eor
         73;202303310856;    2;   0.02;-999;eor
         73;202303310857;    2;   0.02;-999;eor
         73;202303310858;    2;   0.03;-999;eor
         73;202303310859;    2;   0.01;-999;eor
         73;202303310900;    2;   0.01;-999;eor
         73;202303310901;    2;   0.00;-999;eor
         73;202303310902;    2;   0.00;-999;eor
         73;202303310903;    2;   0.01;-999;eor
         73;202303310904;    2;   0.00;-999;eor
         73;202303310905;    2;   0.01;-999;eor
         73;202303310906;    2;   0.00;-999;eor
         73;202303310907;    2;   0.00;-999;eor
         73;202303310908;    2;   0.01;-999;eor
         73;202303310909;    2;   0.00;-999;eor
         73;202303310910;    2;   0.00;-999;eor
         73;202303310911;    2;   0.00;-999;eor
         73;202303310912;    2;   0.00;-999;eor
         73;202303310913;    2;   0.00;-999;eor
         73;202303310914;    2;   0.01;-999;eor
         73;202303310915;    2;   0.00;-999;eor
         73;202303310916;    2;   0.00;-999;eor
         73;202303310917;    2;   0.00;-999;eor
         73;202303310918;    2;   0.00;-999;eor
         73;202303310919;    2;   0.00;-999;eor
         73;202303310920;    2;   0.00;-999;eor
         73;202303310921;    2;   0.00;-999;eor
         73;202303310922;    2;   0.00;-999;eor
         73;202303310923;    2;   0.00;-999;eor
         73;202303310924;    2;   0.00;-999;eor
         73;202303310925;    2;   0.00;-999;eor
         73;202303310926;    2;   0.00;-999;eor
         73;202303310927;    2;   0.00;-999;eor
         73;202303310928;    2;   0.00;-999;eor
         73;202303310929;    2;   0.00;-999;eor
         73;202303310930;    2;   0.00;-999;eor
         73;202303310931;    2;   0.00;-999;eor
         73;202303310932;    2;   0.00;-999;eor
         73;202303310933;    2;   0.00;-999;eor
         73;202303310934;    2;   0.00;-999;eor
         73;202303310935;    2;   0.00;-999;eor
         73;202303310936;    2;   0.00;-999;eor
         73;202303310937;    2;   0.00;-999;eor
         73;202303310938;    2;   0.00;-999;eor
         73;202303310939;    2;   0.00;-999;eor
         73;202303310940;    2;   0.00;-999;eor
         73;202303310941;    2;   0.00;-999;eor
         73;202303310942;    2;   0.00;-999;eor
         73;202303310943;    2;   0.00;-999;eor
         73;202303310944;    2;   0.00;-999;eor
         73;202303310945;    2;   0.00;-999;eor
         73;202303310946;    2;   0.00;-999;eor
         73;202303310947;    2;   0.00;-999;eor
         73;202303310948;    2;   0.00;-999;eor
         73;202303310949;    2;   0.00;-999;eor
         73;202303310950;    2;   0.00;-999;eor
         73;202303310951;    2;   0.00;-999;eor
         73;202303310952;    2;   0.00;-999;eor
         73;202303310953;    2;   0.00;-999;eor
         73;202303310954;    2;   0.00;-999;eor
         73;202303310955;    2;   0.00;-999;eor
         73;202303310956;    2;   0.00;-999;eor
         73;202303310957;    2;   0.00;-999;eor
         73;202303310958;    2;   0.00;-999;eor
         73;202303310959;    2;   0.00;-999;eor
         73;202303311000;    2;   0.00;-999;eor
         73;202303311001;    2;   0.00;-999;eor
         73;202303311002;    2;   0.00;-999;eor
         73;202303311003;    2;   0.00;-999;eor
         73;202303311004;    2;   0.00;-999;eor
         73;202303311005;    2;   0.00;-999;eor
         73;202303311006;    2;   0.00;-999;eor
         73;202303311007;    2;   0.00;-999;eor
         73;202303311008;    2;   0.06;-999;eor
         73;202303311009;    2;   0.00;-999;eor
         73;202303311010;    2;   0.08;-999;eor
         73;202303311011;    2;   0.08;-999;eor
         73;202303311012;    2;   0.05;-999;eor
         73;202303311013;    2;   0.08;-999;eor
         73;202303311014;    2;   0.05;-999;eor
         73;202303311015;    2;   0.06;-999;eor
         73;202303311016;    2;   0.05;-999;eor
         73;202303311017;    2;   0.06;-999;eor
         73;202303311018;    2;   0.03;-999;eor
         73;202303311019;    2;   0.01;-999;eor
         73;202303311020;    2;   0.01;-999;eor
