Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
        293;Barsinghausen                           ;   52.299192;    9.467468;          114;Niedersachsen                           ;
        294;Barsinghausen-Hohenbostel               ;    52.31985;    9.429984;          110;Niedersachsen                           ;
        295;Barsinghausen-Stemmen                   ;   52.346086;    9.519159;           68;Niedersachsen                           ;
        296;Barßel-Loher Ostmark                    ;   53.166555;    7.796888;            2;Niedersachsen                           ;
        297;Bartenshagen-Parkentin                  ;   54.080902;   11.979244;           22;Mecklenburg-Vorpommern                  ;
        298;Barth                                   ;   54.340527;   12.710848;            3;Mecklenburg-Vorpommern                  ;
        301;Bartholomä                              ;   48.758432;    9.985462;        658.5;Baden-Württemberg                       ;
        303;Baruth                                  ;   52.061327;   13.499695;         54.6;Brandenburg                             ;
        304;Basdahl-Volkmarst                       ;    53.43066;    8.954536;           27;Niedersachsen                           ;
        306;Bassenheim                              ;   50.357408;    7.463885;          170;Rheinland-Pfalz                         ;
        308;Bastheim-Simonshof                      ;   50.411311;   10.178183;          312;Bayern                                  ;
        309;Battenberg-Berghofen                    ;     51.0028;     8.66928;          328;Hessen                                  ;
        310;Battenberg-Hof Karlsburg                ;   51.066152;    8.537474;          590;Hessen                                  ;
        311;Baumannshof                             ;        48.7;     11.5333;          366;Bayern                                  ;
        312;Baumgarten                              ;   53.814876;    11.88179;           51;Mecklenburg-Vorpommern                  ;
        313;Baumholder                              ;   49.618593;    7.334806;          468;Saarland                                ;
        314;Kubschütz, Kr. Bautzen                  ;   51.160383;   14.504184;          234;Sachsen                                 ;
        315;Bayerbach-Hölskofen                     ;   48.686521;   12.289302;          435;Bayern                                  ;
        316;Bayerfeld-Steckweiler -Schmalfelderhof  ;   49.695666;    7.838697;          310;Rheinland-Pfalz                         ;
        317;Bayerisch Eisenstein                    ;   49.119779;   13.198664;          710;Bayern                                  ;
        318;Bayersoien, Bad                         ;   47.692088;   10.995424;        810.5;Bayern                                  ;
        319;Eggenthal-Grub                          ;   47.920916;   10.502439;        752.5;Bayern                                  ;
        320;Heinersreuth-Vollhof                    ;   49.966617;   11.519843;        349.5;Bayern                                  ;
        322;Bebra-Iba                               ;   50.979844;    9.865722;          255;Hessen                                  ;
        323;Bechhofen/Mittelfranken -Voggendorf     ;   49.162556;   10.591838;          425;Bayern                                  ;
        324;Beckingen-Düppenweiler                  ;   49.412516;     6.76399;          252;Saarland                                ;
        325;Beckum-Vellern                          ;   51.794845;    8.071822;        126.5;Nordrhein-Westfalen                     ;
        326;Beckum-Unterberg                        ;   51.720353;    8.057689;          120;Nordrhein-Westfalen                     ;
        327;Bederkesa                               ;   53.623437;    8.832253;           27;Niedersachsen                           ;
        328;Beelitz                                 ;   52.237221;   12.977529;           39;Brandenburg                             ;
        329;Beerfelde                               ;   52.430309;   14.044261;           64;Brandenburg                             ;
        330;Oberzent-Beerfelden                     ;   49.561729;    8.967329;          455;Hessen                                  ;
        331;Beerfelden-Airlenbach                   ;     49.5883;    8.925375;          360;Hessen                                  ;
        332;Beesenlaublingen                        ;   51.707272;   11.696636;           68;Sachsen-Anhalt                          ;
        333;Beeskow                                 ;   52.186416;   14.236127;           44;Brandenburg                             ;
        334;Beetzendorf                             ;   52.707953;    11.09361;           40;Sachsen-Anhalt                          ;
        335;Behrensdorf                             ;   54.342563;    10.60176;            4;Schleswig-Holstein                      ;
        336;Hörselberg-Hainich-Behringen            ;   51.022141;   10.514781;          290;Thüringen                               ;
        337;Beilngries                              ;   49.033376;   11.462215;          370;Bayern                                  ;
        338;Belgern                                 ;   51.478709;   13.118325;          120;Sachsen                                 ;
        339;Belgershain-Rohrbach                    ;   51.212935;   12.562315;          141;Sachsen                                 ;
        340;Belleben-Haus Zeitz                     ;   51.694773;   11.639944;          120;Sachsen-Anhalt                          ;
        342;Belm                                    ;   52.317043;     8.16943;        103.3;Niedersachsen                           ;
