Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
1975,Hamburg-Fuhlsbüttel                     ,   53.633172,    9.988102,         10.7,Hamburg                                 
1981,Hamburg-Neuwiedenthal                   ,   53.477658,    9.895686,3,Hamburg                                 
1987,Hamburg-Sankt Pauli                     ,   53.546681,    9.966227,         47.2,Hamburg                                 
1990,Hamburg-Wandsbek                        ,   53.585347,   10.129348,18,Hamburg                                 
1993,Hameln                                  ,   52.084784,    9.389576,68,Niedersachsen                           
2005,Hankensbüttel                           ,   52.719949,   10.598687,108,Niedersachsen                           
2014,Hannover                                ,   52.464428,    9.677906,         55.2,Niedersachsen                           
2039,Harzburg,   51.900249,   10.569851,201,Niedersachsen                           
2044,Harzgerode                              ,   51.651967,   11.136645,404,Sachsen-Anhalt                          
2074,Hechingen                               ,   48.375242,    8.980031,        517.5,Baden-Württemberg                       
2078,Weddingstedt                            ,    54.21807,    9.085307,10,Schleswig-Holstein                      
2080,Heidelberg                              ,   49.420618,    8.667613,110,Baden-Württemberg                       
2088,Heidenheim/Brenz                        ,   48.684941,   10.141978,522,Baden-Württemberg                       
2092,Heidenrod-Mappershain                   ,   50.169131,    7.994907,496,Hessen                                  
2095,Heilbronn                               ,   49.144752,    9.233334,167,Baden-Württemberg                       
2110,Heinsberg-Schleiden                     ,   51.041072,    6.104239,57,Nordrhein-Westfalen                     
2115,Helgoland                               ,   54.174971,    7.891995,          4.4,Schleswig-Holstein                      
2120,Helmstedt                               ,   52.216409,    11.02193,140,Niedersachsen                           
2122,Helse,   53.970098,    9.009522,2,Schleswig-Holstein                      
2147,Herford                                 ,   52.126408,     8.68649,77,Nordrhein-Westfalen                     
2151,Herleshausen                            ,   51.004843,   10.170476,215,Hessen                                  
2158,Herrenalb,   48.804189,    8.443019,350,Baden-Württemberg                       
2167,Niederwörresbach                        ,   49.767176,    7.335605,302,Rheinland-Pfalz                         
2171,Hersfeld,   50.851957,    9.737694,        272.2,Hessen                                  
2201,Hiddensee-Vitte                         ,   54.574971,   13.104427,1,Mecklenburg-Vorpommern                  
2206,Hildesheim                              ,   52.140812,    9.883806,117,Niedersachsen                           
2211,Hilgenroth                              ,   50.737016,    7.652531,295,Rheinland-Pfalz                         
2228,Hinterzarten                            ,    47.89829,    8.105503,883,Baden-Württemberg                       
2244,Höchenschwand                           ,   47.732709,    8.162696,1008,Baden-Württemberg                       
2250,Höllenstein (Kraftwerk)                 ,   49.127875,   12.864512,403,Bayern                                  
2260,Hof (Stadt)                             ,   50.323032,   11.907729,474,Bayern                                  
2261,Hof                                     ,   50.312257,   11.876039,        565.2,Bayern                                  
2264,Hofgeismar-Beberbeck                    ,   51.533979,    9.478874,242,Hessen                                  
2268,Hofheim                                 ,   50.135089,   10.515559,265,Bayern                                  
2290,Hohenpeißenberg                         ,   47.800869,   11.010819,        977.2,Bayern                                  
2323,Bevern,    51.85294,    9.495274,110,Niedersachsen                           
2327,Homberg/Ohm                             ,   50.731569,    9.003154,250,Hessen                                  
2349,Hornisgrinde                            ,   48.613637,    8.203343,       1138.1,Baden-Württemberg                       
2423,Isny                                    ,   47.689421,   10.041633,712,Baden-Württemberg                       
2444,Jena (Sternwarte)                       ,   50.925141,   11.582984,155,Thüringen                               
2456,Jever                                   ,     53.5322,      7.8806,7,Niedersachsen                           
2464,Jork                                    ,   53.531551,    9.675221,1,Niedersachsen                           
2480,Kahl/Main                               ,   50.064347,    8.992973,        107.5,Bayern                                  
2483,Kahler Asten                            ,   51.180254,    8.489068,839,Nordrhein-Westfalen                     
2486,Kaiserslautern                          ,   49.426213,    7.755714,271,Rheinland-Pfalz                         
