Stations_id,Stationsname,Breite, Laenge,Stationshoehe,Bundesland
3366,Mühldorf                                ,   48.278982,   12.502407,        405.6,Bayern                                  
3376,Müncheberg                              ,   52.517588,   14.123226,63,Brandenburg                             
3379,München-Stadt                           ,   48.163202,   11.542893,        515.4,Bayern                                  
3385,München-Nymphenburg                     ,   48.165975,   11.501122,515,Bayern                                  
3402,Münsingen-Apfelstetten                  ,   48.385084,    9.483739,        754.5,Baden-Württemberg                       
3425,Murrhardt                               ,    48.97288,    9.571159,344,Baden-Württemberg                       
3486,Neudenau                                ,   49.293135,    9.272227,212,Baden-Württemberg                       
3527,Neukirchen-Hauptschwenda                ,    50.89228,     9.40498,500,Hessen                                  
3537,Neumünster                              ,   54.087289,    9.979065,26,Schleswig-Holstein                      
3545,Neunkirchen-Wellesweiler                ,   49.343983,    7.229738,236,Saarland                                
3552,Neuruppin                               ,   52.903704,   12.807205,38,Brandenburg                             
3565,Neustadt/Aisch                          ,   49.572809,   10.600131,315,Bayern                                  
3576,Neustadt/Weinstraße (Heidehof)          ,   49.347825,    8.182184,125,Rheinland-Pfalz                         
3590,Nidderau-Windecken                      ,   50.233526,    8.892274,180,Hessen                                  
3595,Niederelbert                            ,   50.410703,    7.808033,250,Rheinland-Pfalz                         
3612,Nienburg                                ,   52.671083,     9.22291,25,Niedersachsen                           
3621,Reimlingen                              ,   48.825254,   10.506667,435,Bayern                                  
3631,Norderney                               ,   53.712304,    7.151923,         11.5,Niedersachsen                           
3640,Nordhorn-Blanke                         ,   52.412368,    7.063994,24,Niedersachsen                           
3668,Nürnberg                                ,   49.503031,   11.054923,314,Bayern                                  
3702,Münstertal-Obermünstertal               ,   47.877992,    7.828842,515,Baden-Württemberg                       
3730,Oberstdorf                              ,   47.398429,   10.275881,        805.8,Bayern                                  
3739,Oberviechtach                           ,   49.452096,   12.436546,596,Bayern                                  
3761,Öhringen                                ,   49.207016,    9.517582,        275.9,Baden-Württemberg                       
3777,Offenburg                               ,   48.459326,    7.925526,153,Baden-Württemberg                       
3815,Osnabrück                               ,   52.255342,    8.053353,         95.4,Niedersachsen                           
3836,Ostheim v.d. Rhön                       ,   50.453837,   10.221065,        313.5,Bayern                                  
3875,Parsberg/Oberpfalz-Eglwang              ,    49.15102,   11.689638,549,Bayern                                  
