Stations_id,Stationsname,geogr. Breite,geogr. Laenge,Stationshoehe,Bundesland
578,Böhming                                 ,   48.945085,    11.36673,379,Bayern                                  
588,Boffzen                                 ,   51.751954,    9.395285,105,Niedersachsen                           
591,Boizenburg                              ,   53.391093,    10.68781,45,Mecklenburg-Vorpommern                  
592,Bokel                                   ,   53.863413,    9.734407,10,Schleswig-Holstein                      
596,Boltenhagen                             ,   54.002724,    11.19082,15,Mecklenburg-Vorpommern                  
598,Bonn                                    ,   50.728465,     7.08394,62,Nordrhein-Westfalen                     
599,Bonn-Friesdorf                          ,   50.705468,     7.14673,62,Nordrhein-Westfalen                     
601,Bonn-Hardthöhe                          ,   50.698253,    7.035642,158,Nordrhein-Westfalen                     
603,Königswinter-Heiderhof                  ,   50.729254,    7.204023,        147.2,Nordrhein-Westfalen                     
604,Bonndorf/Schwarzwald                    ,    47.81942,    8.334841,875,Baden-Württemberg                       
606,Boos                                    ,   48.079084,   10.197683,569,Bayern                                  
614,Borgentreich-Bühne                      ,   51.570874,    9.311999,240,Nordrhein-Westfalen                     
617,Borken in Westfalen                     ,   51.873046,    6.886297,47,Nordrhein-Westfalen                     
619,Borkum-Süderstraße                      ,   53.578793,    6.670348,         11.6,Niedersachsen                           
642,Brake                                   ,   53.351708,    8.496926,1,Niedersachsen                           
643,Brake-Süderfeld                         ,   53.295974,    8.452916,0,Niedersachsen                           
645,Bramsche                                ,   52.408318,    7.968234,75,Niedersachsen                           
648,Brande-Hörnerkirchen                    ,   53.855114,     9.71521,9,Schleswig-Holstein                      
650,Brandenburg-Görden                      ,   52.413598,   12.550291,35,Brandenburg                             
652,Hagenbüchach                            ,   49.535314,   10.770607,384,Bayern                                  
656,Braunlage                               ,   51.723383,   10.602109,        607.3,Niedersachsen                           
660,Braunschweig-Gliesmarode                ,     52.2744,   10.565599,83,Niedersachsen                           
661,Braunschweig (T.H.)                     ,     52.2708,   10.533404,75,Niedersachsen                           
662,Braunschweig                            ,   52.291469,   10.446448,         81.4,Niedersachsen                           
685,Breitsol                                ,   49.901666,    9.428099,585,Bayern                                  
691,Bremen                                  ,    53.04507,    8.798084,4,Bremen                                  
699,Bremen-Seefahrtschule                   ,   53.100397,    8.783366,4,Bremen                                  
701,Bremerhaven                             ,    53.53321,    8.576089,          6.5,Bremen                                  
702,Bremerhaven-Speckenbüttel               ,   53.587641,     8.60149,8,Bremen                                  
703,Bremervörde (A)                         ,   53.477855,    9.155304,5,Niedersachsen                           
704,Bremervörde                             ,   53.445118,     9.13903,         10.6,Niedersachsen                           
705,Bremervörde-Niederochtenhausen          ,   53.531249,    9.166401,5,Niedersachsen                           
706,Eschbach                                ,   47.885791,    7.661066,234,Baden-Württemberg                       
710,Bretten                                 ,   49.024935,    8.699046,182,Baden-Württemberg                       
717,Brilon                                  ,   51.387293,    8.573713,443,Nordrhein-Westfalen                     
722,Brocken                                 ,   51.798615,    10.61828,       1134.7,Sachsen-Anhalt                          
727,Brombachtal-Kirch-Brombach              ,   49.734483,    8.955669,290,Hessen                                  
729,Brotterode                              ,   50.828165,   10.454036,600,Thüringen                               
736,Brücken                                 ,   49.630291,    7.114838,390,Rheinland-Pfalz                         
757,Buchenbach                              ,    47.96248,    7.998337,445,Baden-Württemberg                       
760,Rosengarten-Klecken                     ,   53.362898,    9.943536,82,Niedersachsen                           
766,Büchel (Flugplatz)                      ,   50.174545,     7.05952,477,Rheinland-Pfalz                         
769,Bückeburg                               ,   52.281691,     9.08895,68,Niedersachsen                           
771,Büdingen                                ,   50.276922,    9.116741,148,Hessen                                  
772,Bühlertal                               ,     48.6957,    8.174389,190,Baden-Württemberg                       
773,Bühlertal-Obertal                       ,   48.674302,    8.179888,478,Baden-Württemberg                       
793,Buhlenberg                              ,   49.661987,    7.109839,530,Rheinland-Pfalz                         
807,Schlüsselfeld (Kläranlage)              ,    49.74499,   10.643423,290,Bayern                                  
817,Burgwald-Bottendorf                     ,   51.030568,    8.814605,293,Hessen                                  
833,Neuhausen/Erzgeb. (TS Rauschenbach)     ,   50.695051,   13.497456,615,Sachsen                                 
840,Carlsfeld                               ,   50.431251,   12.611421,        895.3,Sachsen                                 
848,Celle (Stadt)                           ,   52.614642,   10.072598,38,Niedersachsen                           
850,Celle                                   ,    52.59591,   10.029585,         44.7,Niedersachsen                           
851,Pemfling-Pitzling                       ,    49.25044,   12.604179,        391.5,Bayern                                  
853,Chemnitz                                ,   50.791286,   12.871977,        416.1,Sachsen                                 
856,Chieming                                ,   47.884257,   12.540368,        551.2,Bayern                                  
863,Clausthal-Zellerfeld                    ,   51.790354,   10.347039,585,Niedersachsen                           
865,Cloppenburg                             ,   52.844124,    8.062381,42,Niedersachsen                           
867,Lautertal-Oberlauter                    ,   50.306639,   10.967938,        343.8,Bayern                                  
876,Collmberg                               ,   51.303974,   13.009597,314,Sachsen                                 
879,Cottbus (Flugplatz)                     ,     51.7667,     14.2833,68,Brandenburg                             
880,Cottbus                                 ,   51.775922,   14.316796,69,Brandenburg                             
881,Crailsheim-Alexandersreut               ,   49.098476,   10.097896,423,Baden-Württemberg                       
888,Crimmitschau                            ,   50.814879,    12.38205,269,Sachsen                                 
891,Cuxhaven                                ,   53.871254,    8.705821,5,Niedersachsen                           
896,Dachwig                                 ,   51.077772,   10.861875,170,Thüringen                               
917,Darmstadt                               ,   49.880895,    8.677906,162,Hessen                                  
918,Darmstadt (A)                           ,    49.84527,    8.624017,122,Hessen                                  
919,Darmstadt-Botanischer Garten            ,   49.869667,    8.679608,169,Hessen                                  
931,Deggenhausertal-Azenweiler              ,   47.800675,     9.41082,712,Baden-Württemberg                       
948,Dessau                                  ,    51.85116,   12.251549,60,Sachsen-Anhalt                          
953,Deuselbach                              ,   49.761875,    7.054249,        480.5,Rheinland-Pfalz                         
963,Diepholz                                ,   52.588112,    8.342405,         37.7,Niedersachsen                           
964,Dierfeld                                ,   50.083239,     6.89037,413,Rheinland-Pfalz                         
965,Diesbar-Seußlitz                        ,   51.240139,   13.416586,100,Sachsen                                 
970,Dietenhofen                             ,    49.41584,   10.673442,405,Bayern                                  
979,Dillenburg                              ,   50.736371,    8.267238,314,Hessen                                  
982,Dillingen/Donau                         ,   48.570123,   10.498459,420,Bayern                                  
983,Dillingen/Donau-Fristingen              ,   48.556225,    10.55985,419,Bayern                                  
