Stations_id;Stationsname;geogr. Breite;geogr. Laenge;Stationshoehe;Bundesland;
       3032;List auf Sylt                           ;   55.010989;    8.412531;         24.7;Schleswig-Holstein                      ;
       3034;Lobenstein, Bad                         ;   50.450456;    11.63497;        495.5;Thüringen                               ;
       3042;Löhnberg-Obershausen                    ;   50.561656;    8.238629;          230;Hessen                                  ;
       3083;Lübben-Blumenfelde                      ;   51.926694;   13.879715;         56.5;Brandenburg                             ;
       3086;Lübeck-Blankensee                       ;   53.802512;   10.698941;         14.7;Schleswig-Holstein                      ;
       3093;Lüchow                                  ;   52.972379;   11.137371;         16.2;Niedersachsen                           ;
       3098;Lüdenscheid                             ;   51.245158;    7.642497;        386.7;Nordrhein-Westfalen                     ;
       3126;Magdeburg                               ;   52.102896;   11.582674;           79;Sachsen-Anhalt                          ;
       3137;Mainz-Lerchenberg (ZDF)                 ;   49.965563;    8.213884;          195;Rheinland-Pfalz                         ;
       3155;Manderscheid-Sonnenhof                  ;   50.101542;    6.800909;          413;Rheinland-Pfalz                         ;
       3158;Manschnow                               ;   52.546778;    14.54525;           12;Brandenburg                             ;
       3166;Marienberg                              ;   50.651055;   13.146876;          639;Sachsen                                 ;
       3167;Marienberg, Bad                         ;   50.662061;    7.960264;        546.7;Rheinland-Pfalz                         ;
       3196;Marnitz                                 ;    53.32222;   11.932143;           81;Mecklenburg-Vorpommern                  ;
       3204;Martinroda                              ;   50.733481;   10.881516;          429;Thüringen                               ;
       3231;Meiningen                               ;   50.561131;   10.377137;          450;Thüringen                               ;
       3244;Memmingen                               ;   47.982065;    10.13838;          614;Bayern                                  ;
       3257;Mergentheim, Bad-Neunkirchen            ;   49.477324;    9.762223;        250.5;Baden-Württemberg                       ;
       3271;Metten                                  ;    48.85476;   12.918911;          314;Bayern                                  ;
       3284;Michelstadt                             ;   49.669151;    9.008528;          240;Hessen                                  ;
       3287;Michelstadt-Vielbrunn                   ;   49.717686;    9.099716;        452.8;Hessen                                  ;
       3289;Schmieritz-Weltwitz                     ;   50.728119;   11.783769;          356;Thüringen                               ;
       3307;Mittenwald-Buckelwiesen                 ;   47.477866;   11.265311;        983.5;Bayern                                  ;
       3348;Moringen-Lutterbeck                     ;   51.720864;     9.83518;          240;Niedersachsen                           ;
       3366;Mühldorf                                ;   48.278982;   12.502407;        405.6;Bayern                                  ;
       3376;Müncheberg                              ;   52.517588;   14.123226;           63;Brandenburg                             ;
       3379;München-Stadt                           ;   48.163202;   11.542893;        515.4;Bayern                                  ;
       3402;Münsingen-Apfelstetten                  ;   48.385084;    9.483739;        754.5;Baden-Württemberg                       ;
       3426;Muskau, Bad                             ;   51.565979;    14.70081;          127;Sachsen                                 ;
       3442;Nauheim, Bad                            ;   50.357418;    8.750564;        148.5;Hessen                                  ;
       3485;Neuburg/Kammel-Langenhaslach            ;    48.31145;   10.377302;          486;Bayern                                  ;
       3490;Neuenahr, Bad-Ahrweiler                 ;   50.534561;    7.085337;          111;Rheinland-Pfalz                         ;
       3513;Neuhaus am Rennweg                      ;   50.500253;    11.13446;          845;Thüringen                               ;
       3527;Neukirchen-Hauptschwenda                ;    50.89228;     9.40498;          500;Hessen                                  ;
       3540;Neunkirchen-Seelscheid-Krawinkel        ;   50.844636;    7.371973;          195;Nordrhein-Westfalen                     ;
       3545;Neunkirchen-Wellesweiler                ;   49.343983;    7.229738;          236;Saarland                                ;
       3552;Neuruppin                               ;   52.903704;   12.807205;           38;Brandenburg                             ;
